Yaxis,498,14,-8,99,1143,1500
Xaxis,495,-7,0,101,923,1500
Zaxis,489,-29,0,112,200,1500
Gdata,475,20,253,156,2827,400
Attit,493,-1,0,-86,0,1500
Yaxis,498,14,0,102,1142,1500
Xaxis,494,-7,0,101,922,1500
Zaxis,499,-29,0,112,200,1500
Gdata,489,20,-12,436,2827,400
Attit,472,-1,0,-86,0,1500
Yaxis,499,14,0,102,1143,1500
Xaxis,490,-7,0,101,922,1500
Zaxis,499,-29,0,112,200,1500
Gdata,491,20,-40,470,2827,400
Attit,485,0,0,-86,0,1500
Yaxis,484,14,0,102,1143,1500
Xaxis,491,-7,0,101,923,1500
Zaxis,500,-29,0,112,200,1500
Gdata,491,20,211,221,2827,400
Attit,487,0,0,-86,0,1500
Yaxis,498,14,0,102,1144,1500
Xaxis,474,-7,0,101,924,1500
Zaxis,497,-29,0,112,200,1500
Gdata,491,20,223,211,2827,400
Attit,488,0,0,-86,0,1500
Yaxis,507,14,0,102,1143,1500
Xaxis,489,-7,0,101,924,1500
Zaxis,482,-29,0,112,200,1500
Gdata,494,20,237,197,2827,400
Attit,489,0,0,-86,0,1500
Yaxis,508,14,0,102,1141,1500
Xaxis,490,-7,0,101,923,1500
Zaxis,490,-29,0,112,200,1500
Gdata,480,20,252,358,2827,400
Attit,488,-1,0,-86,0,1500
Yaxis,499,14,0,102,1148,1500
Xaxis,490,-7,0,101,922,1500
Zaxis,494,-29,0,112,200,1500
Gdata,493,20,-12,319,2827,400
Attit,473,-1,0,-86,0,1500
Yaxis,499,14,0,102,1146,1500
Xaxis,491,-7,0,101,922,1500
Zaxis,493,-29,0,112,200,1500
Gdata,496,20,-40,660,2829,400
Attit,485,0,1,-86,0,1500
Yaxis,483,14,0,102,1149,1500
Xaxis,496,-7,0,101,923,1500
Zaxis,495,-29,0,112,200,1500
Gdata,498,20,211,305,2827,400
Attit,487,0,1,-86,0,1500
Yaxis,495,14,8,106,1152,1500
Xaxis,479,-7,0,101,923,1500
Zaxis,490,-29,0,112,200,1500
Gdata,490,20,223,258,2827,400
Attit,491,0,0,-87,0,1500
Yaxis,499,14,8,106,1153,1500
Xaxis,486,-7,0,101,924,1500
Zaxis,476,-29,0,112,200,1500
Gdata,489,20,236,233,2827,400
Attit,492,0,0,-87,0,1500
Yaxis,500,15,0,103,1152,1500
Xaxis,491,-7,0,101,923,1500
Zaxis,491,-29,0,112,200,1500
Gdata,475,20,252,208,2827,400
Attit,495,0,0,-87,0,1500
Yaxis,503,15,0,103,1152,1500
Xaxis,492,-7,0,101,922,1500
Zaxis,494,-29,0,112,200,1500
Gdata,489,20,-13,470,2827,400
Attit,478,-1,-1,-87,0,1500
Yaxis,497,15,0,103,1153,1500
Xaxis,491,-7,0,101,922,1500
Zaxis,499,-29,0,112,200,1500
Gdata,492,20,-40,496,2827,400
Attit,491,-1,0,-87,0,1500
Yaxis,486,15,0,103,1154,1500
Xaxis,491,-7,0,101,923,1500
Zaxis,500,-29,0,112,200,1500
Gdata,491,20,211,242,2827,400
Attit,488,-2,0,-87,0,1500
Yaxis,501,15,0,103,1151,1500
Xaxis,475,-7,0,101,923,1500
Zaxis,493,-29,0,112,200,1500
Gdata,490,20,223,99,2827,400
Attit,489,-1,-1,-87,0,1500
Yaxis,500,14,-8,99,1146,1500
Xaxis,487,-7,0,101,924,1500
Zaxis,475,-29,0,112,200,1500
Gdata,491,20,236,146,2827,400
Attit,486,-1,-1,-87,0,1500
Yaxis,500,14,-8,99,1143,1500
Xaxis,490,-7,0,101,923,1500
Zaxis,489,-29,0,112,200,1500
Gdata,481,20,252,156,2827,400
Attit,489,0,0,-87,0,1500
Yaxis,508,14,0,102,1142,1500
Xaxis,494,-7,0,101,922,1500
Zaxis,493,-29,0,112,200,1500
Gdata,488,20,-13,644,2827,400
Attit,471,0,0,-87,0,1500
Yaxis,501,14,0,102,1148,1500
Xaxis,500,-7,0,101,922,1500
Zaxis,494,-29,0,112,200,1500
Gdata,495,20,-40,565,2827,400
Attit,490,0,0,-87,0,1500
Yaxis,483,14,8,106,1151,1500
Xaxis,494,-7,0,101,923,1500
Zaxis,491,-29,0,112,200,1500
Gdata,489,20,211,274,2827,400
Attit,485,0,0,-87,0,1500
Yaxis,495,14,8,106,1153,1500
Xaxis,481,-7,0,101,923,1500
Zaxis,492,-29,0,112,200,1500
Gdata,489,20,222,248,2827,400
Attit,492,0,-1,-87,0,1500
Yaxis,500,15,0,103,1153,1500
Xaxis,494,-7,0,101,924,1500
Zaxis,478,-29,0,112,200,1500
Gdata,492,20,236,225,2827,400
Attit,493,0,-1,-87,0,1500
Yaxis,499,15,0,103,1152,1500
Xaxis,497,-7,0,101,923,1500
Zaxis,492,-29,0,112,200,1500
Gdata,474,20,252,26,2827,400
Attit,493,-1,-1,-87,0,1500
Yaxis,493,14,-8,99,1146,1500
Xaxis,489,-7,0,101,922,1500
Zaxis,498,-29,0,112,200,1500
Gdata,486,20,-13,377,2827,400
Attit,470,-1,-1,-87,0,1500
Yaxis,495,14,-8,99,1144,1500
Xaxis,488,-7,0,101,922,1500
Zaxis,498,-29,0,112,200,1500
Gdata,489,20,-40,439,2827,400
Attit,485,-1,0,-87,0,1500
Yaxis,487,14,0,102,1144,1500
Xaxis,492,-7,0,101,923,1500
Zaxis,499,-29,0,112,200,1500
Gdata,491,20,211,208,2827,400
Attit,488,0,0,-87,0,1500
Yaxis,499,14,0,102,1144,1500
Xaxis,475,-7,0,101,923,1500
Zaxis,499,-29,0,112,200,1500
Gdata,494,20,223,205,2827,400
Attit,488,0,0,-87,0,1500
Yaxis,507,14,0,102,1143,1500
Xaxis,494,-7,0,101,924,1500
Zaxis,478,-29,0,112,200,1500
Gdata,498,20,236,195,2827,400
Attit,487,0,0,-87,0,1500
Yaxis,504,14,0,102,1141,1500
Xaxis,490,-7,0,101,923,1500
Zaxis,490,-29,0,112,200,1500
Gdata,482,20,252,181,2827,400
Attit,488,0,-1,-87,0,1500
Yaxis,498,14,0,102,1142,1500
Xaxis,491,-7,0,101,922,1500
Zaxis,493,-29,0,112,200,1500
Gdata,493,20,-13,447,2827,400
Attit,472,-1,0,-87,0,1500
Yaxis,499,14,0,102,1142,1500
Xaxis,492,-7,0,101,922,1500
Zaxis,493,-29,0,112,200,1500
Gdata,497,20,-41,475,2827,400
Attit,484,-2,0,-87,0,1500
Yaxis,482,14,0,102,1143,1500
Xaxis,498,-7,0,101,923,1500
Zaxis,493,-29,0,112,200,1500
Gdata,496,20,211,223,2827,400
Attit,490,0,0,-87,0,1500
Yaxis,499,14,0,102,1144,1500
Xaxis,480,-7,0,101,923,1500
Zaxis,494,-29,0,112,200,1500
Gdata,491,20,223,211,2827,400
Attit,494,-1,0,-87,0,1500
Yaxis,499,14,0,102,1143,1500
Xaxis,488,-7,0,101,924,1500
Zaxis,477,-29,0,112,200,1500
Gdata,492,20,236,197,2827,400
Attit,494,-1,0,-87,0,1500
Yaxis,497,14,0,102,1141,1500
Xaxis,490,-7,0,101,923,1500
Zaxis,492,-29,0,112,200,1500
Gdata,475,20,252,182,2827,400
Attit,493,-1,0,-87,0,1500
Yaxis,498,14,0,102,1142,1500
Xaxis,492,-7,0,101,922,1500
Zaxis,495,-29,0,112,200,1500
Gdata,487,20,-13,448,2827,400
Attit,477,-1,-1,-87,0,1500
Yaxis,498,14,0,102,1142,1500
Xaxis,491,-7,0,101,922,1500
Zaxis,499,-29,0,112,200,1500
Gdata,491,20,-40,717,2827,400
Attit,489,-2,-1,-87,0,1500
Yaxis,483,14,0,102,1147,1500
Xaxis,492,-7,0,101,923,1500
Zaxis,498,-29,0,112,200,1500
Gdata,491,20,211,331,2827,400
Attit,488,-1,0,-87,0,1500
Yaxis,499,14,8,106,1152,1500
Xaxis,473,-7,0,101,923,1500
Zaxis,491,-29,0,112,200,1500
Gdata,489,20,222,269,2827,400
Attit,487,-1,-1,-87,0,1500
Yaxis,500,14,8,106,1152,1500
Xaxis,487,-7,0,101,924,1500
Zaxis,475,-29,0,112,200,1500
Gdata,495,20,236,239,2827,400
Attit,486,-1,0,-87,0,1500
Yaxis,505,15,0,103,1152,1500
Xaxis,492,-7,0,101,923,1500
Zaxis,490,-29,0,112,200,1500
Gdata,480,20,252,210,2827,400
Attit,488,-1,0,-87,0,1500
Yaxis,499,15,0,103,1153,1500
Xaxis,496,-7,0,101,922,1500
Zaxis,493,-29,0,112,200,1500
Gdata,488,20,-13,471,2827,400
Attit,471,-1,0,-87,0,1500
Yaxis,500,15,0,103,1153,1500
Xaxis,496,-7,0,101,922,1500
Zaxis,493,-29,0,112,200,1500
Gdata,491,20,-40,495,2827,400
Attit,486,0,0,-87,0,1500
Yaxis,484,15,0,103,1154,1500
Xaxis,498,-7,0,101,923,1500
Zaxis,494,-29,0,112,200,1500
Gdata,490,20,211,243,2827,400
Attit,490,0,0,-87,0,1500
Yaxis,495,15,0,103,1154,1500
Xaxis,481,-7,0,101,923,1500
Zaxis,494,-29,0,112,200,1500
